customer_id,gender,senior_citizen,partner,dependents,contract_type,payment_method,paperless_billing,internet_service,phone_service,multiple_lines,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,monthly_charges,tenure_months,is_active,ticket_count,avg_satisfaction,churned,predicted_total_tenure_months,predicted_clv,segment_cluster,segment_label
CU-00001,Male,0,1,1,Two year,Electronic check,1,Fiber optic,1,No,No,No,Yes,No,No,Yes,83.87,2,1,0,3.0,0,14.361873791083823,1204.53,2,Price-Sensitive
CU-00002,Female,1,0,1,Month-to-month,Electronic check,1,DSL,1,No,No,Yes,No,No,No,Yes,66.35,7,0,1,4.0,1,7.0,464.45,2,Price-Sensitive
CU-00003,Female,0,0,0,One year,Electronic check,1,DSL,0,No phone service,No,No,No,No,Yes,No,50.34,48,1,3,3.6667,0,48.0,2416.32,1,Growing / Mid-Value
CU-00004,Female,0,1,0,Month-to-month,Bank transfer (automatic),1,Fiber optic,1,Yes,No,No,Yes,No,No,No,75.47,18,1,0,3.0,0,18.0,1358.46,2,Price-Sensitive
CU-00005,Male,0,1,0,Month-to-month,Mailed check,1,DSL,1,No,Yes,No,No,Yes,Yes,Yes,73.84,18,0,2,3.5,1,18.0,1329.12,1,Growing / Mid-Value
CU-00006,Male,0,0,1,Month-to-month,Electronic check,1,Fiber optic,1,No,No,No,No,No,No,No,65.23,1,0,0,3.0,1,1.0,65.23,2,Price-Sensitive
CU-00007,Male,0,0,0,Two year,Bank transfer (automatic),1,DSL,1,No,Yes,Yes,No,No,No,No,66.44,38,1,0,3.0,0,38.0,2524.72,0,High-Value Loyal
CU-00008,Female,1,1,1,Two year,Credit card (automatic),1,No,0,No phone service,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,18.0,36,1,0,3.0,0,36.0,648.0,3,Low-Value / New
CU-00009,Female,0,1,0,Month-to-month,Mailed check,0,No,1,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,24.98,24,1,0,3.0,0,24.0,599.52,3,Low-Value / New
CU-00010,Female,1,1,0,Month-to-month,Bank transfer (automatic),1,Fiber optic,0,No phone service,Yes,No,No,No,Yes,No,71.43,10,1,0,3.0,0,10.4974914482126,749.84,2,Price-Sensitive
CU-00011,Male,0,1,0,Two year,Electronic check,0,Fiber optic,1,Yes,No,No,Yes,No,No,Yes,73.3,46,1,0,3.0,0,46.0,3371.8,0,High-Value Loyal
CU-00012,Female,0,1,1,Month-to-month,Electronic check,1,Fiber optic,1,Yes,No,No,No,Yes,Yes,No,83.06,31,1,0,3.0,0,31.0,2574.86,0,High-Value Loyal
CU-00013,Female,0,1,0,One year,Mailed check,0,Fiber optic,1,No,No,No,Yes,No,No,No,73.21,10,1,1,4.0,0,18.262675000001956,1337.01,2,Price-Sensitive
CU-00014,Male,0,1,0,Month-to-month,Credit card (automatic),1,No,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,28.3,27,1,0,3.0,0,27.0,764.1,3,Low-Value / New
CU-00015,Male,0,1,0,One year,Credit card (automatic),0,No,1,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,27.13,12,1,0,3.0,0,13.926688807826132,377.83,3,Low-Value / New
CU-00016,Male,1,1,0,Month-to-month,Bank transfer (automatic),1,Fiber optic,1,No,No,No,No,No,No,Yes,71.97,5,0,1,3.0,1,5.0,359.85,2,Price-Sensitive
CU-00017,Male,1,0,0,Month-to-month,Mailed check,0,DSL,1,No,No,Yes,Yes,Yes,No,No,67.97,20,0,1,4.0,1,20.0,1359.4,2,Price-Sensitive
CU-00018,Female,1,0,0,Two year,Bank transfer (automatic),1,Fiber optic,1,Yes,No,No,No,No,Yes,Yes,90.27,45,0,1,1.0,1,45.0,4062.15,0,High-Value Loyal
CU-00019,Male,0,1,1,Month-to-month,Electronic check,1,DSL,0,No phone service,No,Yes,No,No,No,No,51.04,13,1,0,3.0,0,14.273770211547163,728.53,2,Price-Sensitive
CU-00020,Male,0,0,1,Month-to-month,Electronic check,1,Fiber optic,1,No,No,No,No,No,No,Yes,63.8,13,1,0,3.0,0,13.0,829.4,2,Price-Sensitive
CU-00021,Female,0,1,0,Month-to-month,Credit card (automatic),0,DSL,1,Yes,No,No,Yes,No,No,Yes,63.77,18,0,0,3.0,1,18.0,1147.86,2,Price-Sensitive
CU-00022,Male,0,0,1,Month-to-month,Bank transfer (automatic),1,No,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,26.15,5,1,0,3.0,0,10.366200211613364,271.08,3,Low-Value / New
CU-00023,Male,0,1,1,Month-to-month,Credit card (automatic),1,Fiber optic,0,No phone service,Yes,No,No,No,Yes,No,74.35,30,1,1,3.0,0,30.0,2230.5,0,High-Value Loyal
CU-00024,Male,0,0,0,Month-to-month,Bank transfer (automatic),0,DSL,0,No phone service,No,No,No,Yes,No,Yes,55.99,33,1,0,3.0,0,33.0,1847.67,0,High-Value Loyal
CU-00025,Male,0,1,0,Month-to-month,Credit card (automatic),1,DSL,1,Yes,Yes,No,No,No,No,No,52.7,19,0,1,4.0,1,19.0,1001.3,2,Price-Sensitive
CU-00026,Female,0,1,0,Two year,Electronic check,0,Fiber optic,1,Yes,Yes,Yes,No,No,Yes,No,81.17,16,1,0,3.0,0,16.0,1298.72,2,Price-Sensitive
CU-00027,Male,0,0,0,Month-to-month,Electronic check,1,Fiber optic,1,No,Yes,Yes,No,No,No,No,77.14,25,1,1,5.0,0,25.0,1928.5,0,High-Value Loyal
CU-00028,Female,0,1,0,Month-to-month,Credit card (automatic),0,Fiber optic,1,No,Yes,No,No,No,No,No,77.22,1,1,0,3.0,0,12.181171278249716,940.63,2,Price-Sensitive
CU-00029,Female,0,0,1,One year,Mailed check,0,No,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,27.77,38,1,0,3.0,0,38.0,1055.26,3,Low-Value / New
CU-00030,Male,0,0,1,One year,Electronic check,0,Fiber optic,1,No,Yes,No,Yes,No,Yes,No,81.16,1,1,1,3.0,0,15.60160641654586,1266.23,2,Price-Sensitive
CU-00031,Female,0,0,0,Month-to-month,Credit card (automatic),1,Fiber optic,1,Yes,No,Yes,No,No,No,No,73.43,22,1,0,3.0,0,22.0,1615.46,2,Price-Sensitive
CU-00032,Male,0,0,0,Month-to-month,Credit card (automatic),1,Fiber optic,1,Yes,No,Yes,Yes,No,Yes,Yes,86.1,36,1,0,3.0,0,36.0,3099.6,0,High-Value Loyal
CU-00033,Male,0,1,0,Month-to-month,Mailed check,1,Fiber optic,1,No,Yes,Yes,No,No,Yes,No,87.66,23,1,1,4.0,0,23.0,2016.18,0,High-Value Loyal
CU-00034,Female,0,0,1,Month-to-month,Mailed check,1,No,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,21.46,22,1,0,3.0,0,22.0,472.12,3,Low-Value / New
CU-00035,Female,0,1,0,Two year,Bank transfer (automatic),0,Fiber optic,1,No,Yes,No,Yes,Yes,No,No,83.49,16,1,0,3.0,0,16.906623281981442,1411.53,2,Price-Sensitive
CU-00036,Female,0,0,0,One year,Bank transfer (automatic),0,Fiber optic,0,No phone service,Yes,Yes,Yes,Yes,No,No,92.97,12,1,0,3.0,0,16.217793453874666,1507.77,2,Price-Sensitive
CU-00037,Male,0,1,0,One year,Credit card (automatic),1,DSL,1,Yes,No,No,Yes,No,Yes,No,57.68,50,1,1,4.0,0,50.0,2884.0,0,High-Value Loyal
CU-00038,Male,0,0,0,Month-to-month,Bank transfer (automatic),1,No,1,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,23.63,33,1,1,4.0,0,33.0,779.79,3,Low-Value / New
CU-00039,Female,0,1,0,One year,Electronic check,1,Fiber optic,1,No,No,Yes,Yes,No,No,No,74.65,18,0,1,3.0,1,18.0,1343.7,2,Price-Sensitive
CU-00040,Male,0,1,1,Month-to-month,Mailed check,1,Fiber optic,1,Yes,Yes,No,No,No,Yes,Yes,84.8,29,1,0,3.0,0,29.0,2459.2,0,High-Value Loyal
CU-00041,Male,0,1,0,Month-to-month,Mailed check,1,No,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,24.01,13,1,0,3.0,0,13.0,312.13,3,Low-Value / New
CU-00042,Male,0,0,1,Month-to-month,Electronic check,0,No,1,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,18.0,27,1,0,3.0,0,27.0,486.0,3,Low-Value / New
CU-00043,Male,0,1,0,Two year,Electronic check,0,DSL,1,No,No,Yes,No,Yes,No,Yes,73.42,25,1,2,3.5,0,25.0,1835.5,1,Growing / Mid-Value
CU-00044,Female,0,0,0,One year,Electronic check,1,DSL,1,Yes,Yes,No,Yes,No,Yes,No,63.69,9,1,0,3.0,0,11.509705730768694,733.05,2,Price-Sensitive
CU-00045,Male,0,0,0,Month-to-month,Electronic check,0,No,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,21.74,4,1,1,5.0,0,9.496355588992255,206.45,3,Low-Value / New
CU-00046,Female,0,0,1,Month-to-month,Mailed check,0,Fiber optic,1,No,Yes,Yes,No,No,Yes,Yes,90.38,28,1,2,1.0,0,28.0,2530.64,1,Growing / Mid-Value
CU-00047,Male,0,0,1,Month-to-month,Mailed check,0,No,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,18.46,11,1,0,3.0,0,12.765558950008574,235.65,3,Low-Value / New
CU-00048,Female,0,0,0,One year,Mailed check,0,Fiber optic,1,No,No,Yes,No,Yes,No,Yes,85.91,56,0,4,3.5,1,56.0,4810.96,1,Growing / Mid-Value
CU-00049,Female,1,1,1,One year,Mailed check,1,Fiber optic,1,No,No,No,Yes,No,No,No,72.65,1,1,0,3.0,0,11.124978253476105,808.23,2,Price-Sensitive
CU-00050,Male,0,0,0,Month-to-month,Mailed check,1,Fiber optic,1,No,Yes,No,No,Yes,No,Yes,77.69,31,0,2,2.5,1,31.0,2408.39,1,Growing / Mid-Value
CU-00051,Female,0,0,0,Two year,Electronic check,1,DSL,1,Yes,No,No,Yes,No,No,Yes,64.95,15,1,0,3.0,0,15.0,974.25,2,Price-Sensitive
CU-00052,Female,0,0,0,Two year,Mailed check,1,No,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,32.27,58,1,1,5.0,0,58.0,1871.66,0,High-Value Loyal
CU-00053,Female,0,1,1,Two year,Bank transfer (automatic),1,Fiber optic,1,No,No,Yes,No,No,No,No,70.84,20,1,0,3.0,0,20.0,1416.8,2,Price-Sensitive
CU-00054,Female,0,1,0,Month-to-month,Credit card (automatic),1,Fiber optic,1,Yes,No,No,No,No,No,No,62.53,3,0,0,3.0,1,3.0,187.59,2,Price-Sensitive
CU-00055,Female,0,0,0,Month-to-month,Electronic check,1,DSL,1,Yes,No,No,No,No,No,Yes,49.23,23,1,0,3.0,0,23.0,1132.29,2,Price-Sensitive
CU-00056,Female,0,1,0,Month-to-month,Bank transfer (automatic),0,Fiber optic,1,Yes,Yes,No,No,No,Yes,No,79.04,13,1,0,3.0,0,13.0,1027.52,2,Price-Sensitive
CU-00057,Male,1,1,0,Month-to-month,Bank transfer (automatic),0,No,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,24.86,10,1,0,3.0,0,11.013458815224476,273.79,3,Low-Value / New
CU-00058,Male,0,0,0,Two year,Mailed check,0,No,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,20.0,37,1,0,3.0,0,37.0,740.0,3,Low-Value / New
CU-00059,Male,0,0,0,Month-to-month,Credit card (automatic),1,No,1,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,25.52,22,1,0,3.0,0,22.0,561.44,3,Low-Value / New
CU-00060,Male,1,1,0,Two year,Bank transfer (automatic),0,DSL,1,No,No,No,No,Yes,Yes,No,58.51,33,1,0,3.0,0,33.0,1930.83,0,High-Value Loyal
CU-00061,Male,0,1,1,Month-to-month,Mailed check,1,DSL,1,Yes,No,No,No,No,No,Yes,53.24,11,1,0,3.0,0,11.0,585.64,2,Price-Sensitive
CU-00062,Male,0,0,0,Month-to-month,Bank transfer (automatic),1,Fiber optic,1,Yes,No,No,No,No,Yes,No,71.89,3,0,0,3.0,1,3.0,215.67,2,Price-Sensitive
CU-00063,Female,0,0,0,Month-to-month,Credit card (automatic),0,No,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,18.0,14,0,2,3.5,1,14.0,252.0,3,Low-Value / New
CU-00064,Male,0,0,0,Month-to-month,Credit card (automatic),1,Fiber optic,1,Yes,No,No,No,No,No,Yes,75.55,4,0,0,3.0,1,4.0,302.2,2,Price-Sensitive
CU-00065,Male,0,1,0,Month-to-month,Credit card (automatic),0,DSL,1,No,No,No,No,No,No,No,50.6,19,0,0,3.0,1,19.0,961.4,2,Price-Sensitive
CU-00066,Female,1,1,1,Two year,Electronic check,1,Fiber optic,1,No,Yes,No,No,No,Yes,No,80.88,28,1,2,2.0,0,28.0,2264.64,1,Growing / Mid-Value
